,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
24,3472,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,STEM,> 20 years,less than 1000,Pvt Ltd,>4,54,1
25,30466,city_10,0.895,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,1,89,0
26,18230,city_73,0.754,Male,No relevent experience,no_enrollment,Phd,STEM,11~20 years,less than 100,Pvt Ltd,1,41,0
27,5634,city_76,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,2,298,0
28,11753,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,0~5 years,less than 100,Pvt Ltd,never,101,0
29,20881,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,1000 +,Pvt Ltd,1,114,0
30,23129,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,1,104,0
31,10386,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Early Stage Startup,3,53,0
32,5861,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,>4,39,0
33,7537,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,55,0
34,14983,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Early Stage Startup,1,23,0
35,4957,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,3,20,0
36,13970,city_73,0.754,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,NGO,>4,109,0
37,5325,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,>4,3,0
38,32506,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,68,1
39,7006,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,2,262,0
40,5104,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 100,Pvt Ltd,1,16,1
41,4653,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,High School,STEM,6~10 years,less than 100,Pvt Ltd,never,22,0
42,18048,city_27,0.848,Male,Has relevent experience,Full time course,High School,STEM,6~10 years,less than 100,Pvt Ltd,2,67,0
43,8861,city_160,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,0~5 years,less than 100,Early Stage Startup,1,43,0
44,10504,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,35,0
45,18446,city_30,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Public Sector,3,7,0
46,20785,city_28,0.9390000000000001,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Public Sector,1,30,0
47,32244,city_61,0.9129999999999999,Male,No relevent experience,no_enrollment,Masters,STEM,> 20 years,1000 +,Pvt Ltd,2,9,0
48,23890,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,2,112,0
49,1501,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Other,1,20,0
50,5298,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,NGO,1,7,0
51,14257,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,11~20 years,less than 100,NGO,1,21,1
52,32472,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,0~5 years,1000 +,Public Sector,1,166,0
53,31515,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,>4,110,0
54,11053,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Early Stage Startup,1,18,0
55,26862,city_103,0.92,Male,Has relevent experience,Part time course,Masters,STEM,> 20 years,less than 1000,Pvt Ltd,>4,79,1
56,26834,city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,11,0
57,12935,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,1,98,1
58,27162,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,65,0
59,27439,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,61,0
60,11777,city_16,0.91,Female,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,34,1
61,20501,city_16,0.91,Male,No relevent experience,Full time course,Graduate,No Major,> 20 years,less than 100,NGO,>4,44,0
62,5735,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 1000,Funded Startup,2,170,0
63,20605,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,>4,68,0
64,16154,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,132,1
65,26681,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,> 20 years,1000 +,Pvt Ltd,3,8,1
66,9723,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Public Sector,2,23,0
67,23783,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 1000,Pvt Ltd,1,145,0
68,24692,city_142,0.727,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,1,48,0
69,18022,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,4,46,0
70,27259,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Pvt Ltd,1,37,0
71,1297,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,4,86,0
72,21843,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Pvt Ltd,2,96,0
73,29170,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,>4,22,0
74,28674,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,> 20 years,less than 100,Pvt Ltd,>4,33,1
75,2196,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,1,152,0
76,31802,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,3,46,0
77,18150,city_97,0.925,Male,Has relevent experience,no_enrollment,Primary School,STEM,6~10 years,less than 100,Pvt Ltd,>4,28,0
78,26051,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,168,0
79,26651,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Public Sector,>4,37,0
80,4903,city_67,0.855,Male,No relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,13,0
81,11934,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,4,101,1
82,19102,city_9,0.743,Male,Has relevent experience,Full time course,Graduate,STEM,11~20 years,less than 100,Funded Startup,2,128,0
83,12006,city_149,0.6890000000000001,Male,No relevent experience,Part time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,23,1
84,6017,city_116,0.743,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 1000,Pvt Ltd,never,102,0
85,26507,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,4,6,0
86,16462,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,6~10 years,less than 100,Pvt Ltd,2,50,0
87,13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,STEM,0~5 years,less than 100,Pvt Ltd,2,36,0
88,25275,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,90,0
89,27329,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,1,30,0
90,14164,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Funded Startup,1,164,0
91,31021,city_74,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,1,20,0
92,28038,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,2,18,0
93,31131,city_103,0.92,Female,No relevent experience,Part time course,Graduate,Other,0~5 years,1000 +,Other,1,56,0
94,6279,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,1000 +,Public Sector,2,46,0
95,27425,city_75,0.9390000000000001,Other,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,never,34,0
96,10779,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,1,32,1
97,7286,city_69,0.856,Male,Has relevent experience,Part time course,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,1,17,0
98,18410,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,126,0
99,3340,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Funded Startup,1,72,0
100,15778,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,15,0
101,11349,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,33,0
102,50,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,> 20 years,1000 +,Pvt Ltd,1,79,1
103,30434,city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,6~10 years,less than 100,Pvt Ltd,1,8,0
104,19173,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,2,80,0
105,25243,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,High School,STEM,6~10 years,less than 100,Pvt Ltd,1,25,0
106,31166,city_21,0.624,Female,No relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,never,31,0
107,24677,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 1000,Pvt Ltd,>4,160,0
108,6273,city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,66,0
109,17777,city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,42,0
110,21104,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Public Sector,1,66,0
111,27322,city_128,0.527,Female,No relevent experience,Part time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,86,0
112,12449,city_176,0.764,Male,Has relevent experience,no_enrollment,Masters,STEM,0~5 years,less than 100,Pvt Ltd,1,24,0
113,15775,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,Arts,0~5 years,less than 100,Funded Startup,1,31,0
114,22693,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,3,6,0
115,16656,city_114,0.9259999999999999,Male,No relevent experience,Full time course,Graduate,Business Degree,0~5 years,less than 100,Funded Startup,1,86,0
116,13750,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Early Stage Startup,1,26,0
117,6889,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,1,152,0
118,21293,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,9,0
119,11422,city_123,0.738,Female,Has relevent experience,no_enrollment,High School,STEM,6~10 years,less than 100,Pvt Ltd,never,28,0
120,5727,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,> 20 years,less than 100,Pvt Ltd,>4,68,0
121,20431,city_152,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,>4,42,0
122,26581,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,2,18,0
123,14323,city_75,0.9390000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,>4,6,0
124,1502,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,4,200,0
125,16777,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,>4,47,0
126,24209,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,25,0
127,3129,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,8,0
128,27591,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,3,8,0
129,29489,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,1,8,1
130,6696,city_89,0.925,Male,No relevent experience,Full time course,Masters,STEM,11~20 years,less than 100,Pvt Ltd,2,83,0
131,543,city_36,0.893,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,2,11,0
132,4053,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,4,13,0
133,32584,city_142,0.727,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,4,48,0
134,33312,city_44,0.725,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,never,160,0
135,12796,city_16,0.91,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,2,58,0
136,12222,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,1000 +,Pvt Ltd,2,43,0
137,14455,city_123,0.738,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,1,24,0
138,655,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,>4,20,0
139,11270,city_46,0.762,Male,Has relevent experience,Part time course,Masters,STEM,6~10 years,1000 +,Pvt Ltd,1,67,1
140,8714,city_45,0.89,Male,No relevent experience,Full time course,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,>4,29,0
141,7110,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 1000,Pvt Ltd,2,10,0
142,8435,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,7,1
143,30010,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,2,106,0
144,13034,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 100,Pvt Ltd,1,72,0
145,15830,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 100,Early Stage Startup,2,206,0
146,12676,city_114,0.9259999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,1,39,0
147,9084,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,14,0
148,2218,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,2,105,0
149,17077,city_134,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,never,106,0
150,16338,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,1,88,0
151,30097,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,1000 +,Pvt Ltd,>4,26,0
152,180,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,0~5 years,less than 1000,Funded Startup,2,35,0
153,30408,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,8,0
154,27281,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,1,32,0
155,3124,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,No Major,0~5 years,less than 100,Pvt Ltd,1,91,0
156,26068,city_93,0.865,Male,Has relevent experience,Full time course,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,>4,218,0
157,27205,city_114,0.9259999999999999,Male,No relevent experience,Full time course,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,never,75,1
158,9339,city_180,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,3,57,0
159,28438,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,>4,68,1
160,12887,city_84,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,1,13,1
161,3365,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,> 20 years,1000 +,Pvt Ltd,>4,23,0
162,21525,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,never,30,0
163,13359,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,1000 +,Pvt Ltd,>4,7,1
164,16924,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,6~10 years,1000 +,Pvt Ltd,3,21,0
165,13919,city_44,0.725,Male,No relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,19,0
166,13389,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,No Major,6~10 years,less than 100,Pvt Ltd,2,17,0
167,32434,city_104,0.924,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,2,25,0
168,12808,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 1000,Other,1,16,0
169,22490,city_114,0.9259999999999999,Male,No relevent experience,Full time course,High School,STEM,6~10 years,1000 +,Pvt Ltd,4,144,0
170,23114,city_160,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 1000,Pvt Ltd,2,92,0
171,5216,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,9,1
172,24039,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,2,8,0
173,21884,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,>4,42,0
174,4198,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 1000,Pvt Ltd,2,42,0
175,2327,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,1,42,1
176,15976,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,36,1
177,16337,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,0~5 years,less than 100,Pvt Ltd,never,94,1
178,10476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Funded Startup,2,184,0
179,5136,city_104,0.924,Male,Has relevent experience,no_enrollment,Phd,Humanities,> 20 years,less than 100,Pvt Ltd,1,62,0
180,15224,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,28,0
181,13703,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,4,166,0
182,769,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,1,34,0
183,29021,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,21,0
184,28774,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,2,6,0
185,616,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 1000,Pvt Ltd,4,16,0
186,25384,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,2,140,0
187,32610,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Public Sector,1,45,0
188,32742,city_28,0.9390000000000001,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,52,0
189,15617,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,11~20 years,less than 100,Pvt Ltd,2,50,0
190,799,city_104,0.924,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,58,0
191,9387,city_73,0.754,Male,Has relevent experience,no_enrollment,High School,STEM,6~10 years,less than 100,Funded Startup,2,20,0
192,17811,city_64,0.6659999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,3,258,1
193,24682,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,11~20 years,less than 100,Pvt Ltd,4,178,1
194,8215,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,3,20,0
195,28767,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,30,1
196,17220,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,3,270,1
197,31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 1000,Pvt Ltd,4,114,0
198,1980,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,92,0
199,10179,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Funded Startup,>4,14,0
200,24279,city_158,0.7659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Early Stage Startup,1,18,0
201,17704,city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,90,0
202,2338,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,High School,STEM,6~10 years,1000 +,Pvt Ltd,1,3,0
203,14496,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,1000 +,Pvt Ltd,>4,109,0
204,8049,city_65,0.802,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,1,102,0
205,22595,city_100,0.887,Male,Has relevent experience,no_enrollment,Primary School,STEM,0~5 years,less than 100,Pvt Ltd,1,14,0
206,32743,city_116,0.743,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,54,0
207,277,city_84,0.698,Male,Has relevent experience,Full time course,Masters,STEM,6~10 years,less than 100,Pvt Ltd,1,45,1
208,6500,city_152,0.698,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Public Sector,1,108,0
209,31884,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 1000,Pvt Ltd,>4,88,1
