city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_16,0.91,1,1,0,1,1,3,1,4,1,90,0
city_103,0.92,1,1,0,1,1,4,1,4,1,30,0
city_16,0.91,1,1,0,1,1,2,2,2,1,164,0
city_74,0.579,1,1,0,1,1,2,2,4,1,20,0
city_61,0.9129999999999999,1,1,0,1,1,2,3,4,1,18,0
city_103,0.92,2,0,1,1,0,1,3,3,1,56,0
city_114,0.9259999999999999,1,1,0,1,1,3,3,1,1,46,0
city_75,0.9390000000000001,3,1,0,1,1,3,1,4,0,34,0
city_21,0.624,1,1,0,1,1,2,2,4,1,32,1
Other,0.856,1,1,1,1,1,3,3,4,1,17,0
city_21,0.624,1,0,1,1,1,1,1,4,1,126,0
city_16,0.91,1,1,0,1,1,3,1,2,1,72,0
city_61,0.9129999999999999,1,1,0,1,1,3,1,4,1,15,0
Other,0.847,1,1,0,1,1,3,1,4,1,33,0
city_103,0.92,1,1,0,1,1,4,3,4,1,79,1
city_21,0.624,1,0,1,0,1,2,1,4,1,8,0
city_103,0.92,1,1,0,1,1,4,1,4,1,80,0
city_114,0.9259999999999999,1,1,0,0,1,2,1,4,1,25,0
city_21,0.624,2,0,0,1,1,2,3,4,0,31,0
city_41,0.8270000000000001,1,1,0,1,1,4,2,4,2,160,0
city_21,0.624,1,1,1,1,1,1,1,4,0,66,0
city_103,0.92,1,0,0,0,1,1,1,4,0,42,0
city_103,0.92,1,1,0,1,1,4,1,1,1,66,0
city_128,0.527,2,0,1,1,1,1,1,4,0,86,0
Other,0.764,1,1,0,1,1,1,1,4,1,24,0
city_103,0.92,3,1,0,1,0,1,1,2,1,31,0
city_90,0.698,1,1,0,1,1,4,1,4,1,6,0
city_114,0.9259999999999999,1,0,1,1,0,1,1,2,1,86,0
city_40,0.7759999999999999,1,1,0,1,1,1,1,3,1,26,0
city_28,0.9390000000000001,1,1,0,1,1,3,1,4,1,152,0
city_21,0.624,1,1,1,1,1,1,1,4,1,9,0
city_123,0.738,2,1,0,0,1,2,1,4,0,28,0
city_21,0.624,1,1,0,1,0,4,1,4,2,68,0
Other,0.698,1,1,1,1,1,3,2,4,2,42,0
Other,0.847,1,1,0,1,1,1,1,4,1,18,0
city_75,0.9390000000000001,1,1,1,1,1,4,3,4,2,6,0
city_165,0.903,1,1,0,1,1,4,1,4,1,200,0
city_65,0.802,1,1,0,1,1,3,2,4,2,47,0
city_16,0.91,1,0,0,1,1,1,1,4,1,25,0
city_16,0.91,1,0,0,1,1,1,1,4,1,8,0
city_16,0.91,1,0,0,1,1,2,2,4,1,8,0
city_16,0.91,1,0,0,1,1,2,2,4,1,8,1
city_89,0.925,1,0,1,1,1,3,1,4,1,83,0
city_36,0.893,2,1,0,1,1,2,1,4,1,11,0
city_103,0.92,1,0,0,1,1,4,3,4,1,13,0
Other,0.727,1,1,0,1,1,3,1,4,1,48,0
Other,0.725,1,1,0,1,1,2,3,4,0,160,0
city_16,0.91,1,0,1,0,1,1,1,4,1,58,0
city_16,0.91,1,1,0,1,1,4,3,4,1,43,0
city_123,0.738,1,1,1,1,1,1,3,4,1,24,0
city_65,0.802,1,1,0,1,1,3,3,4,2,20,0
city_46,0.762,1,1,1,1,1,2,3,4,1,67,1
city_45,0.89,1,0,1,1,1,2,1,4,2,29,0
city_67,0.855,1,1,0,1,1,3,2,4,1,10,0
city_103,0.92,1,1,1,1,1,4,1,4,2,7,1
city_103,0.92,1,1,0,1,1,3,2,4,1,106,0
city_103,0.92,1,1,0,1,1,2,1,4,1,72,0
city_16,0.91,1,1,0,1,1,2,1,3,1,206,0
city_114,0.9259999999999999,1,1,1,1,1,3,3,4,1,39,0
city_16,0.91,1,1,0,1,1,3,1,4,1,14,0
city_16,0.91,2,1,0,1,1,2,2,4,1,105,0
Other,0.698,1,0,0,1,1,4,1,4,0,106,0
city_21,0.624,1,1,0,1,1,2,1,4,1,88,0
city_114,0.9259999999999999,1,1,0,1,1,4,3,4,2,26,0
city_103,0.92,1,0,0,1,0,1,2,2,1,35,0
city_114,0.9259999999999999,1,1,0,1,1,1,1,4,1,8,0
city_103,0.92,1,1,0,1,1,2,3,4,1,32,0
city_16,0.91,1,1,1,1,0,1,1,4,1,91,0
Other,0.865,1,1,1,1,1,2,3,4,2,218,0
city_114,0.9259999999999999,1,0,1,1,1,2,1,4,0,75,1
Other,0.698,1,1,0,1,1,1,1,4,1,57,0
city_162,0.767,1,1,0,1,1,3,3,4,2,68,1
Other,0.698,1,1,1,1,1,2,1,4,1,13,1
city_16,0.91,1,1,0,1,0,4,3,4,2,23,0
city_21,0.624,1,1,0,1,1,3,1,4,0,30,0
city_21,0.624,1,1,0,1,1,2,3,4,2,7,1
city_103,0.92,1,1,0,1,0,2,3,4,1,21,0
Other,0.725,1,0,0,1,1,3,1,4,1,19,0
city_138,0.836,1,1,0,1,0,2,1,4,1,17,0
city_104,0.924,1,0,1,0,1,1,1,4,1,25,0
city_103,0.92,1,1,0,1,1,1,2,3,1,16,0
city_114,0.9259999999999999,1,0,1,0,1,2,3,4,1,144,0
city_160,0.92,2,1,0,1,1,4,2,4,1,92,0
city_21,0.624,1,0,1,1,1,1,1,4,0,9,1
city_21,0.624,1,1,0,1,1,3,2,4,1,8,0
city_103,0.92,1,1,0,1,1,3,1,4,2,42,0
city_103,0.92,1,1,0,1,1,1,2,4,1,42,0
city_21,0.624,1,1,0,1,1,3,3,4,1,42,1
city_103,0.92,1,0,1,1,1,1,1,4,1,36,1
city_21,0.624,2,0,1,1,1,1,1,4,0,94,1
city_103,0.92,1,1,0,1,1,4,1,2,1,184,0
city_104,0.924,1,1,0,1,0,4,1,4,1,62,0
city_103,0.92,1,1,0,1,1,1,1,4,1,28,0
city_104,0.924,1,1,0,1,1,3,1,4,1,166,0
city_103,0.92,1,1,0,1,1,4,3,4,1,34,0
city_97,0.925,1,1,0,1,1,1,1,4,1,21,0
city_173,0.878,1,1,0,1,1,3,2,4,1,6,0
city_103,0.92,1,1,0,1,1,3,2,4,1,16,0
city_19,0.682,1,1,0,1,1,3,1,4,1,140,0
city_103,0.92,1,1,0,1,1,2,2,1,1,45,0
city_28,0.9390000000000001,1,0,1,0,1,1,1,4,0,52,0
city_40,0.7759999999999999,1,1,0,1,0,3,1,4,1,50,0
city_104,0.924,1,0,1,0,1,1,1,4,0,58,0
city_73,0.754,1,1,0,0,1,2,1,2,1,20,0
city_64,0.6659999999999999,1,1,1,1,1,3,3,4,1,258,1
city_103,0.92,1,1,0,1,0,3,1,4,1,178,1
city_71,0.884,1,1,0,1,1,3,1,4,1,20,0
city_160,0.92,1,1,0,1,1,4,1,4,2,30,1
city_21,0.624,1,1,0,1,1,2,3,4,1,270,1
city_67,0.855,1,1,0,1,1,2,2,4,1,114,0
city_21,0.624,1,1,1,1,1,1,1,4,1,92,0
city_103,0.92,1,1,0,1,1,4,2,2,2,14,0
Other,0.7659999999999999,1,1,0,1,1,1,1,3,1,18,0
city_103,0.92,1,0,0,0,1,1,1,4,0,90,0
city_61,0.9129999999999999,1,1,0,0,1,2,3,4,1,3,0
city_114,0.9259999999999999,1,1,0,1,1,4,3,4,2,109,0
city_65,0.802,1,1,0,1,1,4,1,4,1,102,0
city_100,0.887,1,1,0,0,1,1,1,4,1,14,0
city_116,0.743,1,0,1,0,1,1,1,4,0,54,0
Other,0.698,1,1,1,1,1,2,1,4,1,45,1
Other,0.698,1,0,1,1,1,1,1,1,1,108,0
city_67,0.855,1,1,0,1,1,2,2,4,2,88,1
city_83,0.9229999999999999,1,1,0,1,1,3,2,2,1,51,0
city_67,0.855,2,0,1,1,1,1,1,4,1,21,0
city_21,0.624,1,1,0,1,1,2,1,4,1,20,0
city_73,0.754,1,0,0,1,1,2,1,4,1,157,0
city_21,0.624,1,1,0,1,1,3,2,4,2,25,0
Other,0.727,1,1,1,1,1,1,1,4,1,25,0
city_103,0.92,1,1,0,1,1,1,3,4,1,47,0
city_104,0.924,1,0,1,1,1,2,2,1,1,45,1
city_23,0.899,1,0,1,0,1,1,1,4,1,14,0
city_103,0.92,1,1,0,1,1,1,1,4,1,156,1
city_160,0.92,1,1,0,1,1,2,1,1,1,42,0
city_159,0.843,1,1,1,0,1,1,1,4,1,144,0
city_16,0.91,1,1,1,1,1,3,3,4,1,61,0
city_102,0.804,1,0,1,0,1,2,1,4,0,94,0
city_100,0.887,1,1,0,1,1,2,3,4,1,23,0
city_103,0.92,1,1,0,1,1,3,1,2,1,108,0
city_21,0.624,1,1,1,1,1,2,2,4,1,31,0
city_114,0.9259999999999999,1,1,0,1,1,2,1,4,1,123,0
city_103,0.92,1,1,0,1,1,3,3,3,2,53,0
city_103,0.92,1,1,0,1,1,4,1,4,2,18,0
city_103,0.92,1,1,0,1,1,4,1,4,2,55,0
city_21,0.624,1,1,0,1,1,1,1,4,1,50,0
city_114,0.9259999999999999,2,1,0,1,1,4,1,4,0,24,0
city_103,0.92,2,1,0,1,1,2,1,4,1,16,0
city_103,0.92,1,1,0,1,1,4,3,4,1,15,0
city_105,0.794,1,1,0,1,1,1,1,4,1,59,0
city_61,0.9129999999999999,1,1,0,1,1,4,3,4,2,12,0
city_23,0.899,1,1,1,1,1,3,3,4,1,82,0
city_138,0.836,1,1,1,0,1,1,3,4,1,58,0
city_103,0.92,1,0,0,0,1,1,1,4,1,12,0
city_103,0.92,1,1,1,1,0,3,3,1,1,60,0
city_114,0.9259999999999999,1,1,0,1,1,4,2,4,2,72,0
city_103,0.92,1,1,0,1,1,4,3,4,2,90,0
Other,0.691,1,0,0,1,1,2,3,4,1,86,0
city_21,0.624,1,0,0,0,1,1,1,4,1,2,0
city_11,0.55,1,0,0,1,1,1,1,4,1,12,1
city_21,0.624,2,1,1,1,1,1,1,4,1,33,1
city_41,0.8270000000000001,1,1,0,1,1,2,2,4,1,18,0
city_23,0.899,1,1,0,1,1,3,1,4,1,18,0
city_103,0.92,1,0,1,0,1,2,1,4,1,196,0
city_103,0.92,2,0,0,1,0,1,2,1,0,95,1
city_103,0.92,1,1,0,1,1,2,3,4,2,14,0
city_28,0.9390000000000001,1,1,1,0,1,1,3,4,2,166,0
city_16,0.91,1,1,0,0,1,2,1,4,1,65,0
Other,0.8270000000000001,1,0,0,1,1,3,1,4,1,51,1
city_114,0.9259999999999999,1,0,0,0,1,2,1,4,0,28,0
city_103,0.92,1,1,0,1,1,4,3,4,0,54,0
city_65,0.802,1,1,1,1,1,3,3,4,1,21,0
city_90,0.698,3,1,0,1,1,2,3,1,2,11,0
city_116,0.743,1,1,0,1,0,2,1,4,1,166,0
city_103,0.92,1,1,0,1,1,3,2,4,1,84,0
city_16,0.91,1,1,0,1,0,1,1,4,2,2,0
city_21,0.624,1,1,0,1,1,2,2,4,1,23,0
city_105,0.794,1,1,1,1,1,1,1,4,1,18,0
city_103,0.92,1,0,1,1,1,4,2,3,1,48,0
city_97,0.925,1,0,0,1,0,4,1,4,2,5,0
city_103,0.92,1,1,0,1,0,4,2,4,2,14,0
city_97,0.925,1,1,0,1,1,3,1,4,2,24,0
city_57,0.866,1,1,0,1,1,2,1,4,1,66,0
city_67,0.855,1,1,0,1,1,4,3,4,1,17,0
city_160,0.92,1,1,1,1,1,1,3,4,1,26,0
city_16,0.91,1,1,0,1,1,4,2,4,2,66,0
Other,0.7959999999999999,1,1,0,1,1,2,3,4,1,54,0
city_159,0.843,3,0,1,0,1,1,1,4,0,6,0
city_73,0.754,1,1,0,1,1,2,1,4,1,146,0
city_103,0.92,1,0,1,1,1,1,1,4,1,20,1
city_16,0.91,1,1,0,1,1,3,1,4,1,202,0
city_16,0.91,2,1,1,1,1,3,2,4,1,44,1
city_162,0.767,1,0,0,1,1,2,1,4,0,52,0
city_21,0.624,1,1,0,1,1,3,3,4,2,15,1
city_103,0.92,1,0,0,0,1,1,1,4,0,25,0
city_90,0.698,1,1,1,1,1,3,1,4,2,6,0
city_16,0.91,1,1,0,1,1,3,1,4,1,4,0
city_103,0.92,2,1,1,1,1,3,2,3,1,14,1
city_114,0.9259999999999999,1,0,0,0,1,1,1,4,0,60,0
city_103,0.92,1,1,0,0,1,4,2,4,2,18,0
city_75,0.9390000000000001,1,1,0,1,1,2,1,4,1,47,0
city_103,0.92,1,1,0,1,1,3,2,4,1,10,0
city_103,0.92,1,1,0,0,1,2,3,4,1,4,0
city_73,0.754,1,1,1,0,1,2,1,4,1,5,0
city_103,0.92,1,1,0,1,1,3,3,4,1,12,0
city_160,0.92,2,1,0,1,1,2,2,4,2,100,0
city_103,0.92,1,0,1,0,1,1,3,4,1,55,0
Other,0.698,1,0,0,0,1,2,1,4,0,85,0
city_102,0.804,1,0,1,0,1,2,1,3,1,43,0
city_103,0.92,1,1,0,1,1,3,3,4,1,46,0
city_71,0.884,1,1,0,1,1,3,2,4,1,23,0
city_83,0.9229999999999999,1,1,0,1,1,1,1,4,2,15,0
city_103,0.92,1,1,0,1,1,3,1,4,1,9,1
city_71,0.884,1,1,0,1,1,3,1,4,1,111,0
Other,0.691,1,0,0,0,1,3,1,4,0,254,0
city_114,0.9259999999999999,1,1,0,1,1,3,2,4,1,18,0
city_103,0.92,1,1,0,1,1,4,2,4,1,57,0
city_100,0.887,1,0,0,1,1,1,1,4,0,56,1
city_97,0.925,1,1,0,1,1,2,1,4,1,80,1
city_74,0.579,1,1,1,1,1,2,1,4,1,21,0
city_114,0.9259999999999999,1,1,0,1,1,3,1,4,1,24,0
city_21,0.624,1,1,1,1,1,1,1,3,1,27,0
city_36,0.893,1,1,1,1,1,3,1,4,0,132,0
city_65,0.802,1,0,0,1,1,1,1,4,1,29,0
city_103,0.92,1,0,1,1,1,1,3,1,1,33,0
city_160,0.92,1,0,0,0,1,1,1,4,1,336,0
city_21,0.624,1,1,0,1,1,3,3,4,1,10,0
city_103,0.92,1,1,0,1,1,2,3,4,1,6,0
city_21,0.624,1,0,1,0,1,1,1,4,0,48,0
city_114,0.9259999999999999,1,0,0,1,1,2,1,4,1,22,0
city_136,0.897,1,1,0,1,1,2,3,4,1,92,0
city_103,0.92,1,1,0,1,1,2,3,4,1,178,0
Other,0.794,1,0,1,1,1,1,1,4,0,178,0
city_114,0.9259999999999999,1,0,1,1,1,2,1,3,1,12,0
city_103,0.92,1,1,0,1,1,3,1,4,1,64,0
city_103,0.92,1,0,0,0,1,1,1,4,0,22,0
city_21,0.624,1,1,0,1,1,2,1,4,1,102,0
city_75,0.9390000000000001,1,1,0,1,1,2,1,4,1,18,0
Other,0.789,1,1,0,1,1,2,3,4,1,2,0
city_50,0.8959999999999999,1,0,0,0,1,2,1,4,1,18,0
city_11,0.55,1,1,0,1,1,3,3,1,2,107,0
city_102,0.804,1,0,1,1,1,2,2,4,2,76,0
city_46,0.762,1,1,0,1,1,1,1,1,1,38,1
city_45,0.89,1,1,0,1,1,3,3,4,2,27,0
city_45,0.89,1,1,1,1,1,1,1,4,1,60,0
city_16,0.91,1,1,0,1,1,2,2,1,1,32,0
city_41,0.8270000000000001,1,0,0,1,1,2,1,4,1,4,0
Other,0.847,2,1,0,1,0,3,1,4,1,20,0
city_114,0.9259999999999999,1,0,0,1,0,2,3,4,1,19,0
city_21,0.624,1,1,1,1,1,1,1,4,1,12,0
city_114,0.9259999999999999,1,1,0,1,1,2,1,4,2,84,0
city_100,0.887,3,0,0,0,1,1,1,4,0,11,0
city_65,0.802,1,1,0,0,1,2,3,4,1,13,0
Other,0.698,1,1,1,1,1,1,2,4,1,33,0
city_23,0.899,1,1,0,1,1,3,1,4,1,48,0
city_136,0.897,1,1,0,1,1,1,1,4,1,54,0
city_116,0.743,1,1,0,1,1,2,3,4,1,18,0
city_103,0.92,1,0,1,1,1,2,1,3,1,28,0
Other,0.847,1,1,0,1,1,3,1,2,1,23,0
city_114,0.9259999999999999,1,0,0,1,1,1,1,4,1,134,0
city_103,0.92,1,1,0,0,1,4,1,4,2,92,0
city_103,0.92,1,0,0,1,1,1,3,1,1,5,0
city_16,0.91,1,1,0,1,0,3,1,4,1,50,0
city_21,0.624,1,0,0,1,0,1,1,4,0,10,0
city_73,0.754,1,1,0,1,1,3,1,4,1,88,0
city_16,0.91,1,1,0,1,1,2,3,4,1,56,0
city_160,0.92,1,0,1,1,1,1,1,2,1,123,0
city_16,0.91,1,0,1,1,1,1,1,1,1,46,0
city_103,0.92,1,1,0,1,0,3,1,3,1,178,0
city_61,0.9129999999999999,1,1,0,1,1,3,3,1,2,9,0
city_102,0.804,1,1,0,1,1,3,1,2,1,330,0
city_64,0.6659999999999999,2,1,0,1,1,3,1,4,2,4,0
city_102,0.804,1,1,0,1,1,1,2,4,1,69,1
city_136,0.897,1,0,1,1,1,3,1,4,1,44,0
city_138,0.836,1,1,0,1,0,3,2,4,1,32,0
city_21,0.624,1,0,0,0,1,1,1,4,0,35,0
city_28,0.9390000000000001,1,1,0,1,1,1,1,4,1,72,0
city_61,0.9129999999999999,1,1,0,1,1,4,1,4,1,101,0
city_99,0.915,1,1,0,1,1,2,1,2,1,5,0
city_67,0.855,1,0,1,1,1,1,1,4,0,6,0
city_21,0.624,1,1,0,1,1,3,2,4,1,204,1
city_138,0.836,2,1,0,1,0,3,1,4,2,23,0
city_103,0.92,1,1,0,1,1,4,1,4,2,56,0
city_75,0.9390000000000001,1,1,0,1,1,4,1,4,1,320,0
Other,0.789,1,1,0,1,1,2,1,4,1,26,0
city_160,0.92,1,0,1,0,1,1,1,4,1,42,0
city_123,0.738,1,0,0,1,1,1,1,4,0,68,0
city_103,0.92,1,1,0,1,1,4,2,4,2,74,0
Other,0.9209999999999999,1,0,1,0,1,1,1,4,1,21,1
city_75,0.9390000000000001,1,1,0,1,1,4,3,4,1,68,0
city_103,0.92,1,0,0,1,0,1,3,4,1,80,1
city_136,0.897,1,1,0,1,1,3,2,4,1,13,0
city_103,0.92,1,1,0,1,1,3,1,2,1,34,0
city_16,0.91,1,1,0,1,1,3,1,4,1,140,0
city_138,0.836,1,1,0,1,1,4,3,4,2,10,1
city_102,0.804,1,1,1,1,1,2,1,3,1,73,0
city_136,0.897,1,1,0,1,1,3,3,4,0,59,0
Other,0.64,1,1,0,1,1,2,1,4,2,30,0
city_103,0.92,1,0,0,1,1,3,1,4,2,60,0
city_173,0.878,1,1,0,1,1,3,2,4,1,24,1
Other,0.74,1,1,0,1,1,4,3,4,1,40,0
city_67,0.855,1,1,0,1,1,3,3,4,1,42,0
city_16,0.91,1,1,0,1,1,2,2,4,1,74,0
city_67,0.855,1,1,0,0,1,3,1,4,1,56,0
Other,0.479,1,1,1,1,1,1,2,3,1,43,0
city_50,0.8959999999999999,1,0,0,0,1,1,2,4,2,10,0
city_21,0.624,1,1,0,1,1,3,3,4,2,21,1
city_83,0.9229999999999999,2,1,0,1,1,4,2,4,2,13,0
city_21,0.624,1,1,1,1,1,1,1,4,0,3,0
city_104,0.924,1,0,1,1,1,1,1,4,1,4,0
city_50,0.8959999999999999,1,1,0,1,1,1,1,4,1,92,0
city_138,0.836,1,1,0,1,1,2,1,4,1,105,0
city_160,0.92,1,1,0,1,1,3,2,4,2,24,0
city_114,0.9259999999999999,1,1,0,1,1,4,1,4,2,64,1
city_103,0.92,1,0,0,0,1,2,1,4,0,53,0
city_100,0.887,1,0,0,1,1,2,1,4,1,64,0
city_16,0.91,1,1,1,0,1,1,1,4,1,19,0
city_103,0.92,1,1,0,1,1,2,1,4,2,25,0
city_90,0.698,1,1,0,1,1,2,1,4,1,4,0
city_21,0.624,1,1,1,1,1,2,1,4,0,20,0
city_114,0.9259999999999999,1,1,0,1,1,3,1,4,1,87,0
city_114,0.9259999999999999,1,1,1,1,1,3,3,4,1,42,0
city_138,0.836,1,1,0,1,1,2,1,4,1,156,0
city_103,0.92,1,1,0,1,1,4,2,2,2,90,0
Other,0.479,1,0,0,1,1,1,1,4,0,316,1
city_11,0.55,1,0,1,1,0,1,1,4,0,43,0
city_21,0.624,1,1,0,1,1,1,3,4,1,330,0
city_114,0.9259999999999999,1,0,1,0,1,1,3,4,1,39,1
city_73,0.754,1,1,0,1,1,1,2,4,1,28,0
city_21,0.624,1,1,0,1,1,2,3,4,1,60,0
city_71,0.884,1,1,0,1,1,3,2,2,2,16,0
city_11,0.55,1,0,1,1,1,1,1,4,1,16,0
city_160,0.92,1,0,0,1,1,3,1,4,1,6,1
city_104,0.924,1,1,1,1,1,1,1,4,1,9,0
city_114,0.9259999999999999,1,1,0,1,1,3,1,4,0,50,0
city_160,0.92,1,0,0,1,0,4,1,4,2,118,0
city_16,0.91,1,1,0,1,1,4,1,4,2,55,0
city_16,0.91,2,1,0,1,1,3,1,4,2,85,0
city_21,0.624,1,0,1,0,1,1,1,4,0,72,0
Other,0.848,1,0,1,0,1,1,1,4,0,43,0
city_16,0.91,1,1,0,1,1,3,3,4,1,122,0
city_11,0.55,1,1,0,1,1,2,1,4,1,44,1
city_103,0.92,1,0,0,1,0,4,3,4,2,4,0
city_21,0.624,1,0,1,0,1,2,1,4,0,68,0
Other,0.83,1,1,0,1,0,3,1,4,1,28,0
city_103,0.92,2,1,0,1,0,1,1,4,1,54,0
city_103,0.92,2,0,0,1,1,1,1,4,1,23,1
city_100,0.887,1,0,0,1,0,1,1,4,1,45,1
city_73,0.754,1,0,0,1,1,2,1,4,1,69,1
city_64,0.6659999999999999,1,1,0,1,1,3,3,4,1,17,0
city_103,0.92,1,1,0,1,1,4,2,4,2,40,0
city_16,0.91,1,1,0,1,0,4,1,4,2,160,0
city_103,0.92,1,1,0,1,0,2,3,4,1,13,0
city_16,0.91,1,1,0,1,1,2,1,4,2,282,0
city_103,0.92,1,1,0,1,1,2,1,4,1,26,0
city_114,0.9259999999999999,1,1,0,1,1,4,1,4,2,54,0
city_103,0.92,1,1,0,1,1,1,1,4,1,89,0
city_41,0.8270000000000001,1,0,1,1,0,1,1,4,1,111,1
city_75,0.9390000000000001,1,1,0,1,1,3,1,4,1,5,0
city_103,0.92,1,1,0,1,1,4,2,4,1,16,1
city_136,0.897,1,1,0,1,1,3,2,2,2,91,0
city_114,0.9259999999999999,1,1,0,1,1,4,1,4,2,23,0
city_114,0.9259999999999999,1,1,0,0,1,3,2,3,1,118,0
