enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,permutation
10386,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Early Stage Startup,3,53,0,180
5861,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,>4,39,0,110
7537,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,55,0,76
14983,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Early Stage Startup,1,23,0,61
4957,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,3,20,0,43
13970,city_73,0.754,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,NGO,>4,109,0,20
5325,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,>4,3,0,138
32506,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,68,1,76
7006,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,2,262,0,52
5104,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 100,Pvt Ltd,1,16,1,34
4653,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,High School,STEM,6~10 years,less than 100,Pvt Ltd,never,22,0,28
18048,city_27,0.848,Male,Has relevent experience,Full time course,High School,STEM,6~10 years,less than 100,Pvt Ltd,2,67,0,33
8861,city_160,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,0~5 years,less than 100,Early Stage Startup,1,43,0,133
10504,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,35,0,188
18446,city_30,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Public Sector,3,7,0,78
20785,city_28,0.9390000000000001,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Public Sector,1,30,0,11
32244,city_61,0.9129999999999999,Male,No relevent experience,no_enrollment,Masters,STEM,> 20 years,1000 +,Pvt Ltd,2,9,0,33
23890,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,2,112,0,84
1501,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Other,1,20,0,4
5298,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,NGO,1,7,0,35
14257,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,11~20 years,less than 100,NGO,1,21,1,280
32472,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,0~5 years,1000 +,Public Sector,1,166,0,11
31515,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,>4,110,0,6
11053,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Early Stage Startup,1,18,0,52
26862,city_103,0.92,Male,Has relevent experience,Part time course,Masters,STEM,> 20 years,less than 1000,Pvt Ltd,>4,79,1,14
26834,city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,11,0,79
12935,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,1,98,1,80
27162,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,65,0,60
27439,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,61,0,3
11777,city_16,0.91,Female,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,34,1,28
20501,city_16,0.91,Male,No relevent experience,Full time course,Graduate,No Major,> 20 years,less than 100,NGO,>4,44,0,8
5735,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 1000,Funded Startup,2,170,0,73
20605,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,>4,68,0,31
16154,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,132,1,99
26681,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,> 20 years,1000 +,Pvt Ltd,3,8,1,9
9723,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Public Sector,2,23,0,116
23783,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 1000,Pvt Ltd,1,145,0,94
24692,city_142,0.727,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,1,48,0,46
18022,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,4,46,0,54
27259,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Pvt Ltd,1,37,0,92
1297,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,4,86,0,7
21843,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Pvt Ltd,2,96,0,55
29170,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,>4,22,0,55
28674,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,> 20 years,less than 100,Pvt Ltd,>4,33,1,82
2196,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,1,152,0,40
31802,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,3,46,0,15
18150,city_97,0.925,Male,Has relevent experience,no_enrollment,Primary School,STEM,6~10 years,less than 100,Pvt Ltd,>4,28,0,92
26051,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,168,0,180
26651,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Public Sector,>4,37,0,62
4903,city_67,0.855,Male,No relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,13,0,23
11934,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,4,101,1,14
19102,city_9,0.743,Male,Has relevent experience,Full time course,Graduate,STEM,11~20 years,less than 100,Funded Startup,2,128,0,80
12006,city_149,0.6890000000000001,Male,No relevent experience,Part time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,23,1,36
6017,city_116,0.743,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 1000,Pvt Ltd,never,102,0,25
26507,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,4,6,0,42
16462,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,6~10 years,less than 100,Pvt Ltd,2,50,0,30
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,STEM,0~5 years,less than 100,Pvt Ltd,2,36,0,122
25275,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,90,0,101
27329,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,1,30,0,262
14164,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Funded Startup,1,164,0,55
31021,city_74,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,1,20,0,55
28038,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,2,18,0,9
31131,city_103,0.92,Female,No relevent experience,Part time course,Graduate,Other,0~5 years,1000 +,Other,1,56,0,50
6279,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,1000 +,Public Sector,2,46,0,90
27425,city_75,0.9390000000000001,Other,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,never,34,0,63
10779,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,1,32,1,28
7286,city_69,0.856,Male,Has relevent experience,Part time course,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,1,17,0,89
18410,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,126,0,11
3340,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Funded Startup,1,72,0,35
15778,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,15,0,84
11349,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,33,0,27
50,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,> 20 years,1000 +,Pvt Ltd,1,79,1,51
30434,city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,6~10 years,less than 100,Pvt Ltd,1,8,0,100
19173,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,2,80,0,73
25243,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,High School,STEM,6~10 years,less than 100,Pvt Ltd,1,25,0,4
31166,city_21,0.624,Female,No relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,never,31,0,18
24677,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 1000,Pvt Ltd,>4,160,0,258
6273,city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,66,0,21
17777,city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,42,0,42
21104,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Public Sector,1,66,0,14
27322,city_128,0.527,Female,No relevent experience,Part time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,86,0,330
12449,city_176,0.764,Male,Has relevent experience,no_enrollment,Masters,STEM,0~5 years,less than 100,Pvt Ltd,1,24,0,18
15775,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,Arts,0~5 years,less than 100,Funded Startup,1,31,0,39
22693,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,3,6,0,21
16656,city_114,0.9259999999999999,Male,No relevent experience,Full time course,Graduate,Business Degree,0~5 years,less than 100,Funded Startup,1,86,0,107
13750,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Early Stage Startup,1,26,0,81
6889,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,1,152,0,58
21293,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,9,0,50
11422,city_123,0.738,Female,Has relevent experience,no_enrollment,High School,STEM,6~10 years,less than 100,Pvt Ltd,never,28,0,37
5727,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,> 20 years,less than 100,Pvt Ltd,>4,68,0,3
20431,city_152,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,>4,42,0,12
26581,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,2,18,0,70
14323,city_75,0.9390000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,>4,6,0,58
1502,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,4,200,0,21
16777,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,>4,47,0,14
24209,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,25,0,80
3129,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,8,0,52
27591,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,3,8,0,34
29489,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,1,8,1,21
6696,city_89,0.925,Male,No relevent experience,Full time course,Masters,STEM,11~20 years,less than 100,Pvt Ltd,2,83,0,21
543,city_36,0.893,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,2,11,0,86
4053,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,4,13,0,34
32584,city_142,0.727,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,4,48,0,47
33312,city_44,0.725,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,never,160,0,65
12796,city_16,0.91,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,2,58,0,26
12222,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,1000 +,Pvt Ltd,2,43,0,19
14455,city_123,0.738,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,1,24,0,45
655,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,>4,20,0,88
11270,city_46,0.762,Male,Has relevent experience,Part time course,Masters,STEM,6~10 years,1000 +,Pvt Ltd,1,67,1,51
8714,city_45,0.89,Male,No relevent experience,Full time course,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,>4,29,0,53
7110,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 1000,Pvt Ltd,2,10,0,146
8435,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,7,1,48
30010,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,2,106,0,16
13034,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 100,Pvt Ltd,1,72,0,78
15830,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 100,Early Stage Startup,2,206,0,101
12676,city_114,0.9259999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,1,39,0,70
9084,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,14,0,13
2218,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Pvt Ltd,2,105,0,22
17077,city_134,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,never,106,0,98
16338,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,1,88,0,180
30097,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,1000 +,Pvt Ltd,>4,26,0,2
180,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,0~5 years,less than 1000,Funded Startup,2,35,0,25
30408,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,8,0,50
27281,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,1,32,0,34
3124,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,No Major,0~5 years,less than 100,Pvt Ltd,1,91,0,14
26068,city_93,0.865,Male,Has relevent experience,Full time course,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,>4,218,0,12
27205,city_114,0.9259999999999999,Male,No relevent experience,Full time course,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,never,75,1,91
9339,city_180,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,3,57,0,50
28438,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,>4,68,1,32
12887,city_84,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,1,13,1,53
3365,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,> 20 years,1000 +,Pvt Ltd,>4,23,0,204
21525,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,never,30,0,13
13359,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,1000 +,Pvt Ltd,>4,7,1,14
16924,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,6~10 years,1000 +,Pvt Ltd,3,21,0,4
13919,city_44,0.725,Male,No relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,19,0,290
13389,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,No Major,6~10 years,less than 100,Pvt Ltd,2,17,0,3
32434,city_104,0.924,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,2,25,0,110
12808,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 1000,Other,1,16,0,55
22490,city_114,0.9259999999999999,Male,No relevent experience,Full time course,High School,STEM,6~10 years,1000 +,Pvt Ltd,4,144,0,12
23114,city_160,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 1000,Pvt Ltd,2,92,0,55
5216,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,never,9,1,82
24039,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,2,8,0,74
21884,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 100,Pvt Ltd,>4,42,0,80
4198,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 1000,Pvt Ltd,2,42,0,16
2327,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,1,42,1,206
15976,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,36,1,51
16337,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,0~5 years,less than 100,Pvt Ltd,never,94,1,218
10476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Funded Startup,2,184,0,8
5136,city_104,0.924,Male,Has relevent experience,no_enrollment,Phd,Humanities,> 20 years,less than 100,Pvt Ltd,1,62,0,7
15224,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,28,0,51
13703,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,4,166,0,96
769,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,1,34,0,80
29021,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,21,0,72
28774,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,2,6,0,69
616,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11~20 years,less than 1000,Pvt Ltd,4,16,0,280
25384,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,2,140,0,26
32610,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 1000,Public Sector,1,45,0,48
32742,city_28,0.9390000000000001,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,52,0,26
15617,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,11~20 years,less than 100,Pvt Ltd,2,50,0,134
799,city_104,0.924,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,58,0,20
9387,city_73,0.754,Male,Has relevent experience,no_enrollment,High School,STEM,6~10 years,less than 100,Funded Startup,2,20,0,102
17811,city_64,0.6659999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,11~20 years,1000 +,Pvt Ltd,3,258,1,144
24682,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,11~20 years,less than 100,Pvt Ltd,4,178,1,55
8215,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,3,20,0,10
28767,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,>4,30,1,128
17220,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,3,270,1,82
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 1000,Pvt Ltd,4,114,0,4
1980,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Pvt Ltd,1,92,0,18
10179,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Funded Startup,>4,14,0,60
24279,city_158,0.7659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 100,Early Stage Startup,1,18,0,31
17704,city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,90,0,204
2338,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,High School,STEM,6~10 years,1000 +,Pvt Ltd,1,3,0,3
14496,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,1000 +,Pvt Ltd,>4,109,0,91
8049,city_65,0.802,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,1,102,0,43
22595,city_100,0.887,Male,Has relevent experience,no_enrollment,Primary School,STEM,0~5 years,less than 100,Pvt Ltd,1,14,0,30
32743,city_116,0.743,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,never,54,0,146
277,city_84,0.698,Male,Has relevent experience,Full time course,Masters,STEM,6~10 years,less than 100,Pvt Ltd,1,45,1,224
6500,city_152,0.698,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,less than 100,Public Sector,1,108,0,77
31884,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 1000,Pvt Ltd,>4,88,1,48
